pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%OWN,+/-,team_id,scoring_period,date
C,Nikola JokicDenC,,,,,,,,,6.75,99.7,-0.1,1,4,2018-10-19
G,John WallWshPG,,,,,,,,,8.87,99.4,-0.1,1,4,2018-10-19
G,Ricky RubioUtahPG,GS,L 123-124,33,3,10,0,0,13,6.65,87.6,-0.1,1,4,2018-10-19
G,Eric BledsoeMilPG,Ind,W 118-101,26,6,7,2,2,12,6.94,83.9,-0.6,1,4,2018-10-19
F,"Giannis AntetokounmpoMilPF, SF",Ind,W 118-101,32,15,5,2,1,26,13.50,99.9,0.0,1,4,2018-10-19
F,"Draymond GreenOGSPF, C",@Utah,W 124-123,33,9,6,1,2,14,-3.85,94.6,-2.5,1,4,2018-10-19
F,"Kevin LoveOClePF, C",@Min,L 123-131,39,19,7,0,0,25,-3.51,88.3,0.0,1,4,2018-10-19
UTIL,Nikola VucevicOrlC,Cha,L 88-120,22,8,4,0,4,12,9.63,89.0,+0.9,1,4,2018-10-19
UTIL,Dennis Smith Jr.DalPG,,,,,,,,,1.38,75.9,-2.3,1,4,2018-10-19
UTIL,Nikola MiroticNoPF,Sac,W 149-129,31,9,2,0,0,36,6.28,79.2,-0.5,1,4,2018-10-19
Bench,Lonzo BallDTDLALPG,,,,,,,,,2.10,87.2,+1.4,1,4,2018-10-19
Bench,Lou WilliamsLACSG,OKC,W 108-92,26,1,1,1,0,17,1.74,93.9,-0.6,1,4,2018-10-19
Bench,John CollinsAtlPF,@Mem,L 117-131,,,,,,,1.62,88.0,+3.5,1,4,2018-10-19
C,Andre DrummondDetC,,,,,,,,,7.16,99.6,0.0,2,4,2018-10-19
G,Stephen CurryOGSPG,@Utah,W 124-123,37,4,8,2,0,31,-4.02,99.8,-0.1,2,4,2018-10-19
G,Kemba WalkerChaPG,@Orl,W 120-88,27,2,5,1,0,26,8.05,99.8,+0.1,2,4,2018-10-19
G,"Devin BookerPhxSG, PG",,,,,,,,,7.52,99.3,+0.4,2,4,2018-10-19
F,"Kevin DurantGSSF, PF",@Utah,W 124-123,40,9,7,1,1,38,9.83,99.9,0.0,2,4,2018-10-19
F,Paul GeorgeOKCSF,@LAC,L 92-108,38,8,4,2,0,20,8.82,99.7,-0.1,2,4,2018-10-19
F,"Will BartonODenSF, SG",,,,,,,,,-3.67,69.9,-1.1,2,4,2018-10-19
UTIL,Klay ThompsonGSSG,@Utah,W 124-123,36,4,1,0,1,12,3.13,96.0,-0.1,2,4,2018-10-19
UTIL,"Luka DoncicDalSG, PF",,,,,,,,,3.46,94.7,-0.5,2,4,2018-10-19
UTIL,Otto Porter Jr.WshSF,,,,,,,,,4.56,80.0,+3.6,2,4,2018-10-19
Bench,Deandre AytonPhxC,,,,,,,,,5.89,95.9,+0.3,2,4,2018-10-19
Bench,Dwight HowardOWshC,,,,,,,,,-2.20,83.4,-6.4,2,4,2018-10-19
Bench,Gary HarrisDTDDenSG,,,,,,,,,0.74,62.7,-7.9,2,4,2018-10-19
C,Karl-Anthony TownsMinC,Cle,W 131-123,35,9,2,0,4,12,7.44,99.8,-0.1,3,4,2018-10-19
G,Chris PaulOHouPG,,,,,,,,,1.35,98.3,-1.3,3,4,2018-10-19
G,Bradley BealWshSG,,,,,,,,,7.51,99.1,0.0,3,4,2018-10-19
G,Mike ConleyMemPG,Atl,W 131-117,25,4,11,0,0,16,7.24,92.2,+1.5,3,4,2018-10-19
F,"LaMarcus AldridgeSAPF, C",,,,,,,,,7.60,99.3,-0.2,3,4,2018-10-19
F,Khris MiddletonMilSF,Ind,W 118-101,31,4,4,1,0,23,5.11,98.6,-0.4,3,4,2018-10-19
F,"Gordon HaywardBosSF, SG",@Tor,L 101-113,24,7,2,1,0,14,4.40,91.8,-0.9,3,4,2018-10-19
UTIL,Rudy GobertUtahC,GS,L 123-124,35,11,2,3,1,16,8.92,95.9,-1.1,3,4,2018-10-19
UTIL,"Kyle KuzmaLALPF, SF",,,,,,,,,1.57,84.4,-0.9,3,4,2018-10-19
UTIL,Aaron GordonDTDOrlPF,Cha,L 88-120,25,10,2,2,2,5,4.12,82.2,-3.5,3,4,2018-10-19
Bench,Russell WestbrookOKCPG,@LAC,L 92-108,,,,,,,6.79,99.8,-0.1,3,4,2018-10-19
Bench,Jonas ValanciunasTorC,Bos,W 113-101,14,5,0,0,0,4,2.12,80.0,+0.8,3,4,2018-10-19
Bench,Zach LaVineChiSG,,,,,,,,,4.61,90.8,-0.4,3,4,2018-10-19
C,Joel EmbiidPhiC,,,,,,,,,11.53,99.9,-0.1,4,4,2018-10-19
G,"James HardenHouSG, PG",,,,,,,,,11.63,99.9,0.0,4,4,2018-10-19
G,Victor OladipoOIndSG,@Mil,L 101-118,32,5,1,0,1,25,-3.53,98.3,-1.1,4,4,2018-10-19
G,Kyle LowryTorPG,Bos,W 113-101,34,6,6,0,0,15,6.14,99.5,0.0,4,4,2018-10-19
F,"DeMar DeRozanSASG, SF",,,,,,,,,7.55,99.6,-0.2,4,4,2018-10-19
F,"Jayson TatumBosSF, PF",@Tor,L 101-113,37,9,2,1,1,16,4.31,98.5,-0.1,4,4,2018-10-19
F,Marvin WilliamsChaPF,@Orl,W 120-88,20,4,0,0,0,8,0.94,0.5,-0.2,4,4,2018-10-19
UTIL,Steven AdamsOKCC,@LAC,L 92-108,33,18,0,1,0,17,4.55,80.1,-0.8,4,4,2018-10-19
UTIL,"Jaylen BrownDTDBosSG, SF",@Tor,L 101-113,24,4,0,0,0,13,1.35,62.9,-3.9,4,4,2018-10-19
UTIL,Jarrett AllenBknC,NY,W 107-105,34,11,0,0,4,15,2.79,64.4,-0.3,4,4,2018-10-19
Bench,Lauri MarkkanenOChiPF,,,,,,,,,-4.67,71.7,+0.5,4,4,2018-10-19
