pos,player_team_status_pos,opp,result,MIN,REB,AST,STL,BLK,PTS,PR15,%ROST,+/-,team_id,scoring_period,date
C,Nikola VucevicOrlC,@Min,L 103-120,27,7,3,1,1,22,4.36,97.8,-1.4,1,81,2019-01-04
G,Ricky RubioOUtahPG,@Cle,W 117-91,25,4,5,0,0,15,-0.97,80.4,-4.9,1,81,2019-01-04
G,Eric BledsoeMilPG,Atl,W 144-112,22,8,2,1,1,14,3.63,96.5,0.0,1,81,2019-01-04
G,Kris DunnOChiPG,Ind,L 116-119,40,5,17,0,0,16,-5.20,50.8,-1.1,1,81,2019-01-04
F,"Giannis AntetokounmpoMilPF, SF",Atl,W 144-112,19,8,10,1,2,16,4.84,99.8,-0.1,1,81,2019-01-04
F,John CollinsAtlPF,@Mil,L 112-144,26,7,2,2,0,12,3.81,95.9,-1.3,1,81,2019-01-04
F,"Larry Nance Jr.ClePF, C",Utah,L 91-117,31,9,1,2,0,10,7.44,48.4,+1.9,1,81,2019-01-04
UTIL,"Nikola JokicDenC, PF",,,,,,,,,10.34,99.9,0.0,1,81,2019-01-04
UTIL,JaVale McGeeLALC,NY,L 112-119,25,9,1,0,1,18,7.27,70.8,-6.5,1,81,2019-01-04
UTIL,"Wendell Carter Jr.OChiPF, C",Ind,L 116-119,43,8,3,3,1,15,-5.20,48.4,+1.0,1,81,2019-01-04
Bench,"Serge IbakaTorPF, C",,,,,,,,,3.34,85.3,-3.2,1,81,2019-01-04
Bench,De'Aaron FoxSacPG,,,,,,,,,8.07,97.3,-1.0,1,81,2019-01-04
Bench,DeMarcus CousinsGSC,,,,,,,,,8.77,90.4,-3.7,1,81,2019-01-04
C,Deandre AytonOPhxC,LAC,L 111-121,27,5,3,0,1,4,-2.35,84.9,-7.1,2,81,2019-01-04
G,"Devin BookerOPhxSG, PG",LAC,L 111-121,37,3,4,0,0,23,1.12,84.7,-14.3,2,81,2019-01-04
G,"Luka DoncicDalSG, PF",@Bos,L 93-114,29,9,4,0,0,19,0.92,98.5,-0.2,2,81,2019-01-04
G,"D'Angelo RussellBknPG, SG",@Mem,W 109-100,36,4,10,1,0,23,6.30,98.6,+0.2,2,81,2019-01-04
F,"Kevin DurantGSSF, PF",,,,,,,,,7.33,99.9,0.0,2,81,2019-01-04
F,Paul GeorgeDTDOKCSF,@Por,W 111-109,37,8,2,1,0,37,8.72,99.8,-0.1,2,81,2019-01-04
F,Lauri MarkkanenChiPF,Ind,L 116-119,42,9,2,1,0,27,,69.4,-1.4,2,81,2019-01-04
UTIL,Andre DrummondDetC,,,,,,,,,18.90,99.7,0.0,2,81,2019-01-04
UTIL,Myles TurnerIndC,@Chi,W 119-116,26,1,1,0,0,8,6.53,88.1,-3.3,2,81,2019-01-04
UTIL,Robert CovingtonOMinSF,Orl,W 120-103,,,,,,,,25.4,-1.4,2,81,2019-01-04
Bench,Stephen CurryGSPG,,,,,,,,,8.07,99.8,-0.1,2,81,2019-01-04
Bench,Kemba WalkerChaPG,,,,,,,,,7.08,99.9,0.0,2,81,2019-01-04
Bench,Klay ThompsonGSSG,,,,,,,,,1.34,97.9,-1.5,2,81,2019-01-04
C,Karl-Anthony TownsMinC,Orl,W 120-103,32,15,2,1,1,29,5.61,99.8,-0.1,3,81,2019-01-04
G,Russell WestbrookOKCPG,@Por,W 111-109,37,9,7,1,0,31,15.16,99.9,0.0,3,81,2019-01-04
G,Bradley BealWshSG,@Mia,L 109-115,40,9,7,0,0,33,4.70,98.1,-1.7,3,81,2019-01-04
G,Lonzo BallOLALPG,NY,L 112-119,34,6,2,2,1,17,,63.0,+0.7,3,81,2019-01-04
F,"Khris MiddletonMilSF, SG",Atl,W 144-112,22,1,4,3,0,19,1.81,98.9,+0.5,3,81,2019-01-04
F,Aaron GordonOrlPF,@Min,L 103-120,31,3,6,1,1,10,5.90,95.8,+0.1,3,81,2019-01-04
F,"Josh RichardsonOMiaSF, SG",Wsh,W 115-109,37,5,3,1,1,18,-4.30,65.7,-4.6,3,81,2019-01-04
UTIL,Rudy GobertDTDUtahC,@Cle,W 117-91,31,7,2,1,5,12,11.36,97.7,-1.2,3,81,2019-01-04
UTIL,Mike ConleyOMemPG,Bkn,L 100-109,38,3,2,4,0,31,-2.26,87.3,-9.2,3,81,2019-01-04
UTIL,Brook LopezMilC,Atl,W 144-112,22,2,0,1,1,10,4.02,64.2,-4.3,3,81,2019-01-04
Bench,"LaMarcus AldridgeSAPF, C",,,,,,,,,6.85,99.7,-0.1,3,81,2019-01-04
Bench,Chris PaulHouPG,,,,,,,,,7.78,97.8,-1.2,3,81,2019-01-04
Bench,"Draymond GreenDTDGSPF, C",,,,,,,,,10.19,95.3,-1.2,3,81,2019-01-04
C,Steven AdamsOKCC,@Por,W 111-109,34,12,3,2,1,6,6.44,95.7,+0.3,4,81,2019-01-04
G,"James HardenHouSG, PG",,,,,,,,,9.59,99.8,-0.1,4,81,2019-01-04
G,Victor OladipoOIndSG,@Chi,W 119-116,37,7,4,3,1,36,,53.3,+2.0,4,81,2019-01-04
G,"DeMar DeRozanSASG, SF",,,,,,,,,5.87,99.7,-0.1,4,81,2019-01-04
F,"Jayson TatumBosSF, PF",Dal,W 114-93,31,6,0,1,0,18,1.38,93.8,-4.2,4,81,2019-01-04
F,Paul MillsapDenPF,,,,,,,,,2.58,88.4,-2.0,4,81,2019-01-04
F,"Domantas SabonisIndPF, C",@Chi,W 119-116,31,12,3,1,0,23,3.36,91.8,-1.5,4,81,2019-01-04
UTIL,Joel EmbiidDTDPhiC,,,,,,,,,3.83,99.7,0.0,4,81,2019-01-04
UTIL,Jarrett AllenBknC,@Mem,W 109-100,26,12,0,1,2,12,2.16,81.5,+1.5,4,81,2019-01-04
UTIL,Jusuf NurkicOPorC,OKC,L 109-111,30,8,1,3,1,22,,65.9,-1.1,4,81,2019-01-04
Bench,Kyle LowryTorPG,,,,,,,,,4.23,97.1,-1.6,4,81,2019-01-04
Bench,Jeff TeagueOMinPG,Orl,W 120-103,28,2,10,1,0,23,,56.1,-0.5,4,81,2019-01-04
Bench,"Marcus SmartOBosSG, PG",Dal,W 114-93,32,4,3,1,0,17,1.87,17.3,-3.9,4,81,2019-01-04
C,"Anthony DavisONOPF, C",,,,,,,,,-5.20,91.0,-6.3,5,81,2019-01-04
G,Kyrie IrvingBosPG,Dal,W 114-93,,,,,,,2.31,96.0,-3.5,5,81,2019-01-04
G,"Donovan MitchellDTDUtahSG, PG",@Cle,W 117-91,32,3,5,0,0,18,6.01,98.5,-0.5,5,81,2019-01-04
G,Trae YoungAtlPG,@Mil,L 112-144,32,2,10,3,0,13,6.33,97.0,-0.6,5,81,2019-01-04
F,"Kyle KuzmaOLALPF, SF",NY,L 112-119,,,,,,,-3.39,84.4,-7.3,5,81,2019-01-04
F,Harrison BarnesSacPF,,,32,3,1,0,0,20,0.36,84.9,-0.7,5,81,2019-01-04
F,"Danilo GallinariLACSF, PF",@Phx,W 121-111,37,7,6,2,0,21,2.41,92.5,-3.1,5,81,2019-01-04
UTIL,Damian LillardPorPG,OKC,L 109-111,36,0,8,2,0,23,7.24,99.8,-0.1,5,81,2019-01-04
UTIL,Hassan WhitesideMiaC,Wsh,W 115-109,30,18,0,1,2,21,4.61,91.6,+1.7,5,81,2019-01-04
UTIL,Marc GasolTorC,,,34,9,7,0,1,13,3.00,94.0,-1.5,5,81,2019-01-04
Bench,Kawhi LeonardSASF,,,,,,,,,1.20,98.8,-0.6,5,81,2019-01-04
Bench,Clint CapelaDTDHouC,,,,,,,,,7.18,96.8,-2.1,5,81,2019-01-04
Bench,Willie Cauley-SteinSacC,,,,,,,,,2.06,87.7,-1.8,5,81,2019-01-04
C,Enes KanterPorC,OKC,L 109-111,27,15,3,0,3,16,6.60,92.0,+2.7,6,81,2019-01-04
G,"Jimmy ButlerPhiSG, SF",,,,,,,,,-0.19,97.7,-1.7,6,81,2019-01-04
G,CJ McCollumPorSG,OKC,L 109-111,32,2,5,0,0,10,-3.19,89.1,+4.0,6,81,2019-01-04
G,"Jamal MurrayDenPG, SG",,,,,,,,,7.01,95.6,-0.1,6,81,2019-01-04
F,"LeBron JamesOCleSF, PF",Utah,L 91-117,,,,,,,-3.82,85.5,-2.8,6,81,2019-01-04
F,"Ben SimmonsDTDPhiPG, SF",,,,,,,,,8.18,98.4,-1.4,6,81,2019-01-04
F,Blake GriffinDTDDetPF,,,,,,,,,0.18,97.2,-1.3,6,81,2019-01-04
UTIL,DeAndre JordanNYC,@LAL,W 119-112,31,15,2,1,2,12,-4.50,86.6,-3.8,6,81,2019-01-04
UTIL,"Andrew WigginsMinSF, SG",Orl,W 120-103,33,1,4,0,0,16,5.65,92.1,+1.6,6,81,2019-01-04
UTIL,"Nicolas BatumChaSG, SF",,,,,,,,,-2.03,64.4,+0.4,6,81,2019-01-04
Bench,"Jrue HolidayONOPG, SG",,,,,,,,,,75.9,-1.0,6,81,2019-01-04
Bench,"Julius RandleLALPF, C",NY,L 112-119,,,,,,,1.38,95.3,-3.6,6,81,2019-01-04
Bench,"Tobias HarrisPhiPF, SF",,,36,2,1,4,1,16,2.47,97.4,-2.0,6,81,2019-01-04
